locationId,dateTime,indicatorId,value
3777,2014-12-14 18:14:00,gamma,837
3777,2014-12-24 12:00:00,gamma,833
3777,2014-12-31 20:24:00,gamma,823
3777,2014-12-17 09:36:00,gamma,821
3777,2014-12-11 06:20:12,gamma,820
3777,2014-12-16 20:29:00,gamma,819
3777,2014-12-16 01:41:00,gamma,816
3777,2014-12-21 03:00:00,gamma,816
3777,2014-12-16 06:45:00,gamma,814
3777,2014-12-17 05:33:00,gamma,813
3777,2014-12-14 20:18:00,gamma,813
3777,2014-12-18 02:51:00,gamma,812
3777,2014-12-18 08:36:00,gamma,811
3777,2014-12-15 06:24:00,gamma,810
3777,2014-12-20 04:32:00,gamma,810
3777,2014-12-16 15:52:00,gamma,810
3777,2014-12-22 22:59:00,gamma,810
3777,2014-12-17 04:32:00,gamma,809
3777,2014-12-15 08:27:00,gamma,806
3777,2014-12-25 14:00:00,gamma,806
