locationId,dateTime,indicatorId,value
3773,2014-12-13T21:57:00,gamma,139
3773,2014-12-23T12:38:00,gamma,140
3773,2014-12-15T08:18:00,gamma,139
3773,2014-12-24T08:59:00,gamma,140
3773,2014-12-27T13:57:00,gamma,139
3773,2014-12-27T20:02:00,gamma,139
3773,2014-12-13T01:41:00,gamma,141
3773,2014-12-17T09:35:00,gamma,141
3773,2014-12-24T01:49:00,gamma,141
3773,2014-12-24T03:50:00,gamma,141
3773,2014-12-21T07:54:00,gamma,140
3773,2014-12-25T10:00:00,gamma,141
3773,2014-12-26T22:45:00,gamma,141
3773,2014-12-27T05:56:00,gamma,141
3773,2014-12-31T02:09:00,gamma,141
3773,2014-12-31T20:24:00,gamma,142
3773,2014-12-22T17:21:00,gamma,147
3773,2014-12-23T16:41:00,gamma,147
3773,2014-12-23T21:45:00,gamma,147
3773,2014-12-14T05:03:00,gamma,147
3773,2014-12-24T04:51:00,gamma,147
3773,2014-12-19T01:09:00,gamma,147
3773,2014-12-26T16:40:00,gamma,147
3773,2014-12-20T06:34:00,gamma,147
3773,2014-12-13T18:56:00,gamma,143
3773,2014-12-19T20:14:00,gamma,152
3773,2014-12-27T11:56:00,gamma,147
3773,2014-12-21T15:07:00,gamma,147
3773,2014-12-14T04:02:00,gamma,143
3773,2014-12-20T20:45:00,gamma,152
3773,2014-12-22T09:21:00,gamma,147
3773,2014-12-22T02:09:00,gamma,143
3773,2014-12-21T09:55:00,gamma,152
3773,2014-12-27T05:23:00,gamma,143
3773,2014-12-26T12:37:00,gamma,152
3773,2014-12-21T13:59:00,gamma,152
3773,2014-12-31T14:19:00,gamma,143
3773,2014-12-27T16:00:00,gamma,152
3773,2014-12-22T14:19:00,gamma,152
3773,2014-12-31T15:20:00,gamma,143
3773,2014-12-28T07:12:00,gamma,152
3773,2014-12-24T06:53:00,gamma,152
3773,2014-12-31T20:20:00,gamma,143
3773,2014-12-12T17:00:12,gamma,143
3773,2014-12-28T12:16:00,gamma,152
3773,2014-12-24T10:57:00,gamma,152
3773,2014-12-25T21:00:00,gamma,149
3773,2014-12-29T05:30:00,gamma,152
3773,2014-12-25T04:00:00,gamma,152
3773,2014-12-27T07:52:00,gamma,149
3773,2014-12-31T05:12:00,gamma,152
3773,2014-12-25T06:00:00,gamma,152
3773,2014-12-12T22:38:00,gamma,134
3773,2014-12-27T23:05:00,gamma,149
3773,2014-12-31T07:13:00,gamma,152
3773,2014-12-25T08:00:00,gamma,152
3773,2014-12-12T23:00:12,gamma,134
3773,2014-12-29T16:39:00,gamma,149
3773,2014-12-13T01:00:14,gamma,134
3773,2014-12-30T04:49:00,gamma,149
3773,2014-12-31T04:10:00,gamma,149
3773,2014-12-29T08:32:00,gamma,136
3773,2014-12-22T05:12:00,gamma,148
3773,2014-12-13T04:43:00,gamma,148
3773,2014-12-23T00:28:00,gamma,148
3773,2014-12-15T20:35:00,gamma,148
3773,2014-12-25T22:00:00,gamma,148
3773,2014-12-16T21:26:00,gamma,148
3773,2014-12-29T04:29:00,gamma,148
3773,2014-12-17T08:35:00,gamma,148
3773,2014-12-29T09:33:00,gamma,148
3773,2014-12-18T18:03:00,gamma,148
3773,2014-12-30T10:55:00,gamma,148
3773,2014-12-18T23:21:00,gamma,148
3773,2014-12-19T07:20:00,gamma,148
3773,2014-12-25T07:00:00,gamma,144
3773,2014-12-13T09:48:00,gamma,145
3773,2014-12-25T18:00:00,gamma,144
3773,2014-12-31T22:26:00,gamma,145
3773,2014-12-13T11:50:00,gamma,145
3773,2014-12-26T18:42:00,gamma,144
3773,2014-12-11T23:30:12,gamma,144
3773,2014-12-21T13:06:00,gamma,145
3773,2014-12-28T13:17:00,gamma,144
3773,2014-12-14T01:00:00,gamma,144
3773,2014-12-23T01:28:00,gamma,146
3773,2014-12-13T02:48:00,gamma,146
3773,2014-12-22T07:13:00,gamma,145
3773,2014-12-30T16:06:00,gamma,144
3773,2014-12-14T07:04:00,gamma,144
3773,2014-12-27T22:10:00,gamma,146
3773,2014-12-14T06:04:00,gamma,146
3773,2014-12-22T10:15:00,gamma,145
3773,2014-12-21T02:50:00,gamma,144
3773,2014-12-14T12:09:00,gamma,152
3773,2014-12-28T16:25:00,gamma,146
3773,2014-12-17T01:30:00,gamma,146
3773,2014-12-24T10:38:00,gamma,145
3773,2014-12-23T11:37:00,gamma,144
3773,2014-12-15T00:19:00,gamma,152
3773,2014-12-29T10:34:00,gamma,146
3773,2014-12-18T02:50:00,gamma,146
3773,2014-12-24T12:38:00,gamma,145
3773,2014-12-15T02:21:00,gamma,152
3773,2014-12-14T18:13:00,gamma,149
3773,2014-12-31T10:15:00,gamma,146
3773,2014-12-19T12:18:00,gamma,146
3773,2014-12-28T01:07:00,gamma,145
3773,2014-12-15T07:25:00,gamma,152
3773,2014-12-17T15:40:00,gamma,149
3773,2014-12-31T21:24:00,gamma,146
3773,2014-12-20T02:30:00,gamma,146
3773,2014-12-16T06:44:00,gamma,152
3773,2014-12-18T07:35:00,gamma,149
